"updater" "reg" "mc"
"1" "adam" 0.01 0.03055
"2" "adam" 0.001 0.0268
"3" "adam" 1e-04 0.03585
"4" "rmsprop" 0.01 0.03075
"5" "rmsprop" 0.001 0.02735
"6" "rmsprop" 1e-04 0.03425
"7" "adadelta" 0.01 0.02915
"8" "adadelta" 0.001 0.0287
"9" "adadelta" 1e-04 0.03455
